Station,sampleDateTime,pressure_mb,Temperature_C,Comment
PC,2015-08-18 08:15:48,1042.25,28.183,First data line for station PC
PC,2015-08-18 08:27:48,1042.425,27.183,
PC,2015-08-18 08:39:48,1042.075,26.493,
PC,2015-08-18 08:51:48,1042.017,26.397,
PC,2015-08-18 09:03:48,1042.25,26.89,
PC ,2015-08-18 09:15:48,1042.075,27.647,An extraneous trailing space was added to station
PC,2015-08-18 09:27:48,1042.425,28.253,
 PC,2015-08-18 09:39:48,1042.25,28.807,An extraneous leading space was added to station
PC,2015-08-18 09:51:48,1042.542,29.28,
PC,2015-08-18 10:03:48,1042.542,29.697,
PC,2015-08-18 10:15:48,1042.367,30.097,
PC,2015-08-18 10:27:48,1042.367,30.52,
PC,2015-08-18 10:39:48,1042.25,130.867,Temperature Range Violation of 100 -high
PC,2015-08-18 10:51:48,1042.367,31.19,
PC,2015-08-18 11:03:48,1041.958,31.283,
PC,2015-08-18 11:15:48,1042.017,31.07,
PC,2015-08-18 11:27:48,1042.017,31.1,
PC,2015-08-18 11:39:48,1042.017,31.253,
PC,2015-08-18 11:51:48,1041.842,31.407,
PC,2015-08-18 12:03:48,1041.842,31.58,
PC,2015-08-18 12:15:48,1041.608,31.67,
PC,2015-08-18 12:27:48,1041.783,-68.297,Temperature Range violation of 100 degrees low
PC,2015-08-18 12:39:48,1041.667,31.45,
PC,2015-08-18 12:51:48,1041.433,31.45,
PC,2015-08-18 13:03:48,1041.433,31.813,
PC,2015-08-18 13:15:48,1041.433,32.027,
PC,2015-08-18 13:27:48,1041.433,31.763,
PC,2015-08-18 13:39:48,1041.083,31.647,
PC,2015-08-18 13:51:48,1040.733,31.667,
PC,2015-08-18 14:03:48,1040.85,31.5,
PC,2015-08-18 14:15:48,1040.85,31.093,
PC,2015-08-18 14:27:48,1040.733,30.6,
PC,2015-08-18 14:39:48,1040.558,30.163,
PC,2015-08-18 14:51:48,1040.383,29.917,
PC,2015-08-18 15:03:48,1040.325,30.04,
PC,2015-08-18 15:15:48,1040.15,30.287,
PC,2015-08-18 15:27:48,1040.325,30.33,
PC,2015-08-18 15:39:48,1040.325,30.207,
PC,2015-08-18 15:51:48,1040.15,30.06,
PC,2015-08-18 16:03:48,1040.15,29.903,
PC,2015-08-18 16:15:48,1040.15,29.737,
PC,2015-08-18 16:27:48,1040.15,29.55,
PC,2015-08-18 16:39:48,1040.15,29.313,
PC,2015-08-18 16:51:48,1040.15,29.083,
PC,2015-08-18 17:03:48,1039.975,28.833,
PC,2015-08-18 17:15:48,1039.975,28.593,
PC,2015-08-18 17:27:48,1039.975,28.41,
PC,2015-08-18 17:39:48,1039.8,28.243,
PC,2015-08-18 17:51:48,1039.8,28.093,
PC,2015-08-18 18:03:48,1039.625,27.987,
PC,2015-08-18 18:15:48,1040.15,27.843,
PC,2015-08-18 18:27:48,1040.15,27.57,
PC,2015-08-18 18:39:48,1040.15,27.243,
PC,2015-08-18 18:51:48,1040.267,26.897,
PC,2015-08-18 19:03:48,1040.442,26.563,
PC,2015-08-18 19:15:48,1040.383,26.25,
PC,2015-08-18 19:27:48,1040.558,25.897,
PC,2015-08-18 19:39:48,1040.617,25.53,
PC,2015-08-18 19:51:48,1040.792,25.17,
PC,2015-08-18 20:03:48,1040.792,24.813,
PC,2015-08-18 20:15:48,1040.792,24.493,
PC,2015-08-18 20:27:48,1040.85,24.197,
PC,2015-08-18 20:39:48,1040.792,23.927,
PC,2015-08-18 20:51:48,1040.967,23.683,
PC,2015-08-18 21:03:48,1041.025,23.46,
PC,2015-08-18 21:15:48,1040.85,24.26,1 degree spike in temperature
PC,2015-08-18 21:27:48,1040.792,23.087,
PC,2015-08-18 21:39:48,1041.025,22.953,
PC,2015-08-18 21:51:48,1041.2,22.85,
PC,2015-08-18 22:03:48,1041.2,22.767,
PC,2015-08-18 22:15:48,1041.375,22.683,
PC,2015-08-18 22:27:48,1041.2,22.62,
PC,2015-08-18 22:39:48,1041.55,22.543,
PC,2015-08-18 22:51:48,1041.55,27.46,5 degree spike in temperature
PC,2015-08-18 23:03:48,1041.025,22.357,
PC,2015-08-18 23:15:48,1041.55,22.273,
PC,2015-08-18 23:27:48,1041.55,22.237,
PC,2015-08-18 23:39:48,1041.375,22.203,
PC,2015-08-18 23:51:48,1041.783,22.21,
PC,2015-08-19 00:03:48,1041.9,32.26,10 degree spike in temperature
PC,2015-08-19 00:15:48,1041.783,22.577,
PC,2015-08-19 00:27:48,1041.783,23.1,
PC,2015-08-19 00:39:48,1041.725,23.543,
PC,2015-08-19 00:51:48,1041.375,23.877,
PC,2015-08-19 01:03:48,1041.2,24.087,
PC,2015-08-19 01:15:48,1041.2,24.19,
PC,2015-08-19 01:27:48,1040.967,24.23,
PC,2015-08-19 01:39:48,1041.375,24.253,
PC,2015-08-19 01:51:48,1041.2,29.25,5 degree step / spike in temperature
PC,2015-08-19 02:03:48,1041.2,29.197,5 degree step / spike in temperature
PC,2015-08-19 02:15:48,1040.967,24.127,
PC,2015-08-19 02:27:48,1041.2,24.093,
PC,2015-08-19 02:39:48,1041.025,24.017,
PC,2015-08-19 02:51:48,1040.967,23.92,
PC,2015-08-19 03:03:48,1040.617,23.833,
PC,2015-08-19 03:15:48,1040.85,23.75,
PC,2015-08-19 03:27:48,1040.792,23.677,
PC,2015-08-19 03:39:48,1040.442,23.62,
PC,2015-08-19 03:51:48,1040.617,23.557,
PC,2015-08-19 04:03:48,1040.442,23.487,
PC,2015-08-19 04:15:48,1040.617,28.363,5 degree step / spike in temperature
PC,2015-08-19 04:27:48,1040.617,28.25,5 degree step / spike in temperature
PC,2015-08-19 04:39:48,1040.617,28.127,5 degree step / spike in temperature
PC,2015-08-19 04:51:48,1040.617,27.973,5 degree step / spike in temperature
PC,2015-08-19 05:03:48,1041.025,27.807,5 degree step / spike in temperature
PC,2015-08-19 05:15:48,1041.2,27.627,5 degree step / spike in temperature
PC,2015-08-19 05:27:48,1041.025,22.48,
PC,2015-08-19 05:39:48,1041.375,22.397,
PC,2015-08-19 05:51:48,1041.025,22.357,
PC,2015-08-19 06:03:48,1040.967,22.39,
PC,2015-08-19 06:15:48,1041.2,22.53,
PC,2015-08-19 06:27:48,1041.375,22.837,
PC,2015-08-19 06:39:48,1041.375,18.183,Spike - drop in temperature of 5 degrees
PC,2015-08-19 06:51:48,1041.55,23.523,
PC,2015-08-19 07:03:48,1041.55,23.897,
PC,2015-08-19 07:15:48,1041.375,24.337,
PC,2015-08-19 07:27:48,1041.725,24.933,
PC,2015-08-19 07:39:48,1041.725,25.42,
PC,2015-08-19 07:51:48,1041.492,25.8,
PC,2015-08-19 08:03:48,1041.492,26.327,
PC,2015-08-19 08:15:48,1041.725,26.837,
PC,2015-08-19 08:27:48,1041.667,27.14,
PC,2015-08-19 08:39:48,1041.667,27.327,
PC,2015-08-19 08:51:48,1041.667,27.583,
PC,2015-08-19 09:03:48,1041.667,27.883,
PC,2015-08-19 09:15:48,1041.433,28.397,
PC,2015-08-19 09:27:48,1041.258,29.12,
PC,2015-08-19 09:39:48,1041.433,29.723,
PC,2015-08-19 09:51:48,1041.667,30.17,
PC,2015-08-19 10:03:48,1041.433,30.7,
PC,2015-08-19 10:15:48,1041.608,31.167,Stuck temperature sensor - with no variation
PC,2015-08-19 10:27:48,1041.608,31.167,Stuck temperature sensor - with no variation
